,ano,orgao,codigoOrgao,orgaoSuperior,codigoOrgaoSuperior,empenhado,liquidado,pago
0,2016,Presidência da República,20101,Presidência da República,20000,"1.405.193.265,87","1.195.327.492,92","1.193.461.131,32"
1,2016,Empresa Brasil de Comunicação,20415,Presidência da República,20000,"603.870.941,38","580.010.956,11","567.107.276,00"
2,2016,Fundo de Imprensa Nacional,20116,Presidência da República,20000,"195.174.095,25","186.766.874,39","186.765.714,39"
3,2016,Instituto Nacional de Tecnologia da Informação,24208,Presidência da República,20000,"17.634.125,79","15.878.337,50","15.878.337,50"
4,2016,Gabinete da Vice-Presidência da República,60000,Presidência da República,20000,"7.426.577,53","7.055.586,70","7.055.586,70"
5,2016,Secretaria da Micro e Pequena Empresa,69000,Presidência da República,20000,"0,00","0,00","0,00"
6,2016,Secretaria de Assuntos Estratégicos,61000,Presidência da República,20000,"0,00","0,00","0,00"
7,2017,Presidência da República,20101,Presidência da República,20000,"1.521.962.970,23","1.141.295.083,25","1.133.431.094,46"
8,2017,Empresa Brasil de Comunicação,20415,Presidência da República,20000,"606.305.654,80","556.618.504,63","537.820.203,36"
9,2017,Fundo de Imprensa Nacional,20116,Presidência da República,20000,"207.186.545,93","190.678.130,20","190.673.889,09"
10,2017,Instituto Nacional de Tecnologia da Informação,24208,Presidência da República,20000,"19.095.867,49","14.063.581,23","14.063.581,23"
11,2017,Gabinete da Vice-Presidência da República,60000,Presidência da República,20000,"1.696.948,26","1.429.386,83","1.429.386,83"
12,2018,Presidência da República,20101,Presidência da República,20000,"2.547.415.979,75","1.355.548.525,75","1.305.263.930,72"
13,2018,Empresa Brasil de Comunicação,20415,Presidência da República,20000,"680.131.922,17","585.356.601,44","552.740.499,05"
14,2018,Fundo de Imprensa Nacional,20116,Presidência da República,20000,"195.389.614,33","176.633.388,76","174.684.350,54"
15,2018,Instituto Nacional de Tecnologia da Informação,24208,Presidência da República,20000,"21.770.445,62","18.014.892,51","17.600.487,41"
16,2018,Gabinete da Vice-Presidência da República,60000,Presidência da República,20000,"1.546.609,66","1.445.915,42","1.407.168,66"
17,2019,Presidência da República,20101,Presidência da República,20000,"1.331.108.584,49","1.091.445.300,71","1.037.360.377,45"
18,2019,Empresa Brasil de Comunicação,20415,Presidência da República,20000,"550.474.689,56","509.703.493,50","471.558.881,96"
19,2019,Fundo de Imprensa Nacional,20116,Presidência da República,20000,"80.030.278,20","66.877.694,88","64.068.053,67"
20,2019,Instituto Nacional de Tecnologia da Informação,24208,Presidência da República,20000,"27.662.083,54","19.569.793,40","19.143.660,80"
21,2019,Gabinete da Vice-Presidência da República,60000,Presidência da República,20000,"12.762.747,36","12.359.091,98","11.854.311,02"
22,2020,Presidência da República,20101,Presidência da República,20000,"1.296.666.159,57","1.063.980.617,68","1.012.339.902,29"
23,2020,Empresa Brasil de Comunicação,20415,Presidência da República,20000,"543.559.160,07","503.391.073,27","481.510.821,41"
24,2020,Fundo de Imprensa Nacional,20116,Presidência da República,20000,"68.734.649,71","59.062.431,21","57.334.833,37"
25,2020,Instituto Nacional de Tecnologia da Informação,24208,Presidência da República,20000,"35.274.662,20","20.892.743,81","20.510.647,59"
26,2020,Gabinete da Vice-Presidência da República,60000,Presidência da República,20000,"12.739.916,64","12.032.551,79","11.501.821,83"
27,2021,Presidência da República,20101,Presidência da República,20000,"1.081.595.661,49","987.117.790,07","934.164.246,17"
28,2021,Empresa Brasil de Comunicação,20415,Presidência da República,20000,"539.066.775,59","504.581.985,30","484.007.146,39"
29,2021,Fundo de Imprensa Nacional,20116,Presidência da República,20000,"68.740.458,56","53.993.469,45","52.258.289,07"
30,2021,Instituto Nacional de Tecnologia da Informação,24208,Presidência da República,20000,"28.782.902,51","20.055.233,99","19.557.316,92"
31,2021,Gabinete da Vice-Presidência da República,60000,Presidência da República,20000,"14.294.588,21","13.880.824,86","13.275.889,00"
32,2022,Presidência da República,20101,Presidência da República,20000,"1.169.083.915,52","1.105.367.111,24","1.046.516.252,90"
33,2022,Empresa Brasil de Comunicação,20415,Presidência da República,20000,"548.652.034,08","520.352.051,68","494.392.690,75"
34,2022,Fundo de Imprensa Nacional,20116,Presidência da República,20000,"70.927.941,03","53.184.866,55","51.498.019,42"
35,2022,Instituto Nacional de Tecnologia da Informação,24208,Presidência da República,20000,"30.813.326,02","24.085.357,82","23.402.067,11"
36,2022,Gabinete da Vice-Presidência da República,60000,Presidência da República,20000,"18.657.437,43","17.820.474,61","17.309.188,64"
37,2023,Presidência da República,20101,Presidência da República,20000,"1.513.204.515,83","922.179.608,97","845.555.588,04"
38,2023,Empresa Brasil de Comunicação,20415,Presidência da República,20000,"498.730.209,50","420.872.840,84","422.843.289,07"
39,2023,Fundo de Imprensa Nacional,20116,Presidência da República,20000,"64.465.331,46","33.914.437,74","34.241.343,61"
40,2023,Instituto Nacional de Tecnologia da Informação,24208,Presidência da República,20000,"28.908.560,88","17.332.407,32","17.019.456,03"
41,2023,Gabinete da Vice-Presidência da República,60000,Presidência da República,20000,"14.387.840,49","6.940.210,58","6.626.904,25"
42,2016,Ministério do Planejamento e Orçamento - Unidades com vínculo direto,20113,Ministério do Planejamento e Orçamento,20113,"8.174.358,30","8.174.358,30","8.174.358,30"
43,2017,Ministério do Planejamento e Orçamento - Unidades com vínculo direto,20113,Ministério do Planejamento e Orçamento,20113,"4.532.941,13","4.532.941,13","4.532.941,13"
44,2016,Ministério da Agricultura e Pecuária - Unidades com vínculo direto,22000,Ministério da Agricultura e Pecuária,22000,"5.092.435.502,71","4.464.714.971,78","4.427.817.921,07"
45,2016,Fundo de Defesa da Economia Cafeeira,22905,Ministério da Agricultura e Pecuária,22000,"4.318.432.396,97","3.624.665.739,65","3.624.665.739,65"
46,2016,Empresa Brasileira de Pesquisa Agropecuária,22202,Ministério da Agricultura e Pecuária,22000,"3.190.846.353,40","3.075.876.502,03","3.055.608.978,95"
47,2017,Ministério da Agricultura e Pecuária - Unidades com vínculo direto,22000,Ministério da Agricultura e Pecuária,22000,"5.466.908.560,35","4.538.320.151,37","4.464.045.836,30"
48,2017,Fundo de Defesa da Economia Cafeeira,22905,Ministério da Agricultura e Pecuária,22000,"4.928.151.928,25","3.348.263.294,30","3.287.760.327,38"
49,2017,Empresa Brasileira de Pesquisa Agropecuária,22202,Ministério da Agricultura e Pecuária,22000,"3.395.017.139,09","3.245.863.604,26","3.241.984.839,16"
50,2018,Ministério da Agricultura e Pecuária - Unidades com vínculo direto,22000,Ministério da Agricultura e Pecuária,22000,"5.725.492.375,40","4.512.372.922,70","4.249.837.484,23"
51,2018,Fundo de Defesa da Economia Cafeeira,22905,Ministério da Agricultura e Pecuária,22000,"5.082.441.130,83","4.128.352.718,99","4.128.352.718,99"
52,2018,Empresa Brasileira de Pesquisa Agropecuária,22202,Ministério da Agricultura e Pecuária,22000,"3.747.019.642,46","3.483.077.831,81","3.289.210.794,80"
53,2019,Ministério da Agricultura e Pecuária - Unidades com vínculo direto,22000,Ministério da Agricultura e Pecuária,22000,"6.942.703.375,37","5.208.869.158,70","4.870.556.307,79"
54,2019,Fundo de Defesa da Economia Cafeeira,22905,Ministério da Agricultura e Pecuária,22000,"4.943.289.611,78","3.853.436.485,52","3.853.436.485,52"
55,2019,Empresa Brasileira de Pesquisa Agropecuária,22202,Ministério da Agricultura e Pecuária,22000,"3.892.998.541,12","3.571.111.576,48","3.358.533.597,50"
56,2020,Ministério da Agricultura e Pecuária - Unidades com vínculo direto,22000,Ministério da Agricultura e Pecuária,22000,"6.955.877.452,45","5.411.900.478,94","5.166.044.320,99"
57,2020,Fundo de Defesa da Economia Cafeeira,22905,Ministério da Agricultura e Pecuária,22000,"5.456.095.869,01","3.676.588.990,09","3.676.588.990,09"
58,2020,Empresa Brasileira de Pesquisa Agropecuária,22202,Ministério da Agricultura e Pecuária,22000,"3.469.555.363,15","3.262.819.428,95","3.058.839.788,41"
59,2021,Ministério da Agricultura e Pecuária - Unidades com vínculo direto,22000,Ministério da Agricultura e Pecuária,22000,"7.884.361.133,85","5.576.307.307,25","5.319.705.495,26"
60,2021,Fundo de Defesa da Economia Cafeeira,22905,Ministério da Agricultura e Pecuária,22000,"5.961.000.146,13","4.500.847.741,36","4.500.847.741,36"
61,2021,Empresa Brasileira de Pesquisa Agropecuária,22202,Ministério da Agricultura e Pecuária,22000,"3.551.066.541,09","3.348.170.210,15","3.138.167.094,88"
62,2022,Ministério da Agricultura e Pecuária - Unidades com vínculo direto,22000,Ministério da Agricultura e Pecuária,22000,"8.230.564.640,04","5.546.071.669,89","5.287.377.928,56"
63,2022,Fundo de Defesa da Economia Cafeeira,22905,Ministério da Agricultura e Pecuária,22000,"6.008.168.951,00","5.250.259.301,80","5.250.259.301,80"
64,2022,Empresa Brasileira de Pesquisa Agropecuária,22202,Ministério da Agricultura e Pecuária,22000,"3.615.678.092,59","3.394.378.598,23","3.176.503.247,79"
65,2023,Fundo de Defesa da Economia Cafeeira,22905,Ministério da Agricultura e Pecuária,22000,"6.375.757.658,98","4.915.514.867,78","4.733.343.850,78"
66,2023,Ministério da Agricultura e Pecuária - Unidades com vínculo direto,22000,Ministério da Agricultura e Pecuária,22000,"6.568.533.105,19","3.978.618.710,76","3.299.615.014,13"
67,2023,Empresa Brasileira de Pesquisa Agropecuária,22202,Ministério da Agricultura e Pecuária,22000,"3.489.874.133,95","3.213.097.753,67","2.677.015.939,97"
68,2016,"Ministério da Ciência, Tecnologia e Inovação - Unidades com vínculo direto",24000,"Ministério da Ciência, Tecnologia e Inovação",24000,"2.086.166.055,24","1.948.217.964,33","1.940.339.298,91"
69,2016,Conselho Nacional de Desenvolvimento Científico e Tecnológico,20501,"Ministério da Ciência, Tecnologia e Inovação",24000,"1.939.401.134,76","1.517.970.033,60","1.509.921.494,28"
70,2016,Fundo Nacional de Desenvolvimento Científico e Tecnológico,24901,"Ministério da Ciência, Tecnologia e Inovação",24000,"1.687.916.707,49","1.552.029.318,26","1.456.618.566,10"
71,2016,Comissão Nacional de Energia Nuclear,20301,"Ministério da Ciência, Tecnologia e Inovação",24000,"941.802.990,32","905.046.016,73","904.876.358,48"
72,2016,Centro Nacional de Tecnologia Eletrônica Avançada S.A.,24209,"Ministério da Ciência, Tecnologia e Inovação",24000,"80.347.510,13","67.795.602,54","67.795.562,59"
73,2016,Financiadora de Estudos e Projetos,20502,"Ministério da Ciência, Tecnologia e Inovação",24000,"33.698.258,19","33.695.768,19","33.695.768,19"
74,2016,Agência Espacial Brasileira,20402,"Ministério da Ciência, Tecnologia e Inovação",24000,"36.819.438,41","20.774.542,80","20.774.542,80"
75,2017,"Ministério da Ciência, Tecnologia e Inovação - Unidades com vínculo direto",24000,"Ministério da Ciência, Tecnologia e Inovação",24000,"3.694.842.325,60","3.495.790.499,77","3.488.184.848,37"
76,2017,Fundo Nacional de Desenvolvimento Científico e Tecnológico,24901,"Ministério da Ciência, Tecnologia e Inovação",24000,"1.622.471.905,38","1.549.686.360,65","1.539.531.036,89"
77,2017,Conselho Nacional de Desenvolvimento Científico e Tecnológico,20501,"Ministério da Ciência, Tecnologia e Inovação",24000,"1.915.126.935,43","1.543.172.385,24","1.512.458.592,69"
78,2017,Comissão Nacional de Energia Nuclear,20301,"Ministério da Ciência, Tecnologia e Inovação",24000,"994.274.932,38","935.532.334,53","931.413.729,82"
79,2017,Financiadora de Estudos e Projetos,20502,"Ministério da Ciência, Tecnologia e Inovação",24000,"150.231.499,39","150.231.499,39","150.231.499,39"
80,2017,Centro Nacional de Tecnologia Eletrônica Avançada S.A.,24209,"Ministério da Ciência, Tecnologia e Inovação",24000,"91.228.386,65","74.566.516,09","74.365.277,23"
81,2017,Agência Espacial Brasileira,20402,"Ministério da Ciência, Tecnologia e Inovação",24000,"26.777.285,00","20.417.306,72","20.417.306,72"
82,2018,"Ministério da Ciência, Tecnologia e Inovação - Unidades com vínculo direto",24000,"Ministério da Ciência, Tecnologia e Inovação",24000,"4.150.755.283,50","3.966.289.940,27","3.810.544.544,49"
83,2018,Fundo Nacional de Desenvolvimento Científico e Tecnológico,24901,"Ministério da Ciência, Tecnologia e Inovação",24000,"1.825.836.261,13","1.717.558.786,76","1.708.022.041,43"
84,2018,Conselho Nacional de Desenvolvimento Científico e Tecnológico,20501,"Ministério da Ciência, Tecnologia e Inovação",24000,"1.695.884.759,40","1.507.018.238,35","1.450.095.567,56"
85,2018,Comissão Nacional de Energia Nuclear,20301,"Ministério da Ciência, Tecnologia e Inovação",24000,"978.433.225,79","927.848.090,80","876.876.421,26"
86,2018,Financiadora de Estudos e Projetos,20502,"Ministério da Ciência, Tecnologia e Inovação",24000,"130.692.896,39","130.692.896,39","130.692.896,39"
87,2018,Centro Nacional de Tecnologia Eletrônica Avançada S.A.,24209,"Ministério da Ciência, Tecnologia e Inovação",24000,"84.965.022,41","69.155.893,01","67.170.726,04"
88,2018,Agência Espacial Brasileira,20402,"Ministério da Ciência, Tecnologia e Inovação",24000,"37.396.047,71","25.885.889,27","24.919.725,41"
89,2019,"Ministério da Ciência, Tecnologia e Inovação - Unidades com vínculo direto",24000,"Ministério da Ciência, Tecnologia e Inovação",24000,"4.551.277.779,02","4.313.775.173,83","4.103.787.146,66"
90,2019,Fundo Nacional de Desenvolvimento Científico e Tecnológico,24901,"Ministério da Ciência, Tecnologia e Inovação",24000,"2.184.707.893,92","2.021.082.059,69","2.012.737.670,06"
91,2019,Conselho Nacional de Desenvolvimento Científico e Tecnológico,20501,"Ministério da Ciência, Tecnologia e Inovação",24000,"1.710.898.959,01","1.537.622.607,22","1.504.183.728,55"
92,2019,Comissão Nacional de Energia Nuclear,20301,"Ministério da Ciência, Tecnologia e Inovação",24000,"996.166.900,55","954.035.443,40","901.691.153,73"
93,2019,Centro Nacional de Tecnologia Eletrônica Avançada S.A.,24209,"Ministério da Ciência, Tecnologia e Inovação",24000,"82.113.934,29","68.371.224,18","66.252.953,65"
94,2019,Agência Espacial Brasileira,20402,"Ministério da Ciência, Tecnologia e Inovação",24000,"35.066.159,60","21.541.825,49","20.547.126,97"
95,2019,Financiadora de Estudos e Projetos,20502,"Ministério da Ciência, Tecnologia e Inovação",24000,"1.221.712,13","1.221.712,13","1.221.712,13"
96,2020,"Ministério da Ciência, Tecnologia e Inovação - Unidades com vínculo direto",24000,"Ministério da Ciência, Tecnologia e Inovação",24000,"3.406.456.000,28","3.162.516.218,95","2.999.400.392,29"
97,2020,Fundo Nacional de Desenvolvimento Científico e Tecnológico,24901,"Ministério da Ciência, Tecnologia e Inovação",24000,"2.473.308.913,66","2.143.592.197,26","2.137.957.382,62"
98,2020,Conselho Nacional de Desenvolvimento Científico e Tecnológico,20501,"Ministério da Ciência, Tecnologia e Inovação",24000,"1.718.495.157,92","1.474.817.230,31","1.388.916.516,97"
99,2020,Comissão Nacional de Energia Nuclear,20301,"Ministério da Ciência, Tecnologia e Inovação",24000,"1.026.817.888,19","961.500.548,62","909.468.901,04"
100,2020,Centro Nacional de Tecnologia Eletrônica Avançada S.A.,24209,"Ministério da Ciência, Tecnologia e Inovação",24000,"76.985.692,62","68.791.036,68","65.969.756,91"
101,2020,Agência Espacial Brasileira,20402,"Ministério da Ciência, Tecnologia e Inovação",24000,"59.093.172,44","39.617.019,83","36.617.961,52"
102,2020,Financiadora de Estudos e Projetos,20502,"Ministério da Ciência, Tecnologia e Inovação",24000,"241.464,09","241.464,09","241.464,09"
